Lp;Nazwa;Audio;Kierunek;Extras
1;Cichy Kącik 01;Cichy Kącik;Nowy Bieżanów P+R;
2;Reymana 02;Reymana;;
3;Park Jordana 02;Park Jordana;;
4;Oleandry 02;Oleandry;;
5;Muzeum Narodowe 02;Muzeum Narodowe;;
6;UJ / AST 02;UJ AST;;
7;Teatr Bagatela 01;Teatr Bagatela;;
8;Stary Kleparz 02;Stary Kleparz;;
9;Teatr Słowackiego 02;Teatr Słowackiego;;
10;Poczta Główna 01;Poczta Główna;;
11;św. Gertrudy 02;Św. Gertrudy;;
12;Wawel 02;Wawel;;
13;Stradom 02;Stradom;;
14;Plac Wolnica 01;Plac Wolnica;;
15;Korona 03;Korona;;
16;Limanowskiego 01;Limanowskiego;;
17;Podgórze SKA 01;Podgórze SKA;;
18;Cmentarz Podgórski 01;Cmentarz Podgórski;;
19;Dworcowa 01;Dworcowa;;
20;Kabel 01;Kabel;;
21;Bieżanowska 01;Bieżanowska;;
22;Wlotowa 01;Wlotowa;;
23;Prokocim 01;Prokocim;;
24;Prokocim Szpital 01;Prokocim Szpital;;
25;Teligi 01;Teligi;;
26;Nowy Prokocim 01;Nowy Prokocim;;
27;Ćwiklińskiej 01;Ćwiklińskiej;;
28;Nowy Bieżanów P+R 91;Nowy Bieżanów P+R;;koniec_trasy
