# Copyright:
# (c) ROKMK 2026 - All rights reserved.
# Generated with Routes-Generator for SIP by ROKMK.
#
# Route Info:
# Line: 44   Direction: Dworzec Towarowy   Stops amount: 21   Route changed: False
# Line operator: MPK S.A. w Krakowie   Vehicle type: Tram
Lp;Nazwa;Audio;Kierunek;Extras
1;Kopiec Wandy 02;Kopiec Wandy;Dworzec Towarowy;
2;Kombinat 03;Kombinat;;
3;Zalew Nowohucki 02;Zalew Nowohucki;;
4;Struga 02;Struga;;
5;Plac Centralny im. R.Reagana 01;Plac Centralny im. R.Reagana;;
6;Os. Kolorowe 02;Os. Kolorowe;;
7;Rondo Czyżyńskie 02;Rondo Czyżyńskie;;
8;Czyżyny 02;Czyżyny;;
9;Stella-Sawickiego 02;Stella-Sawickiego;;
10;AKF / PK 02;AKF PK;;
11;Muzeum Lotnictwa Polskiego 02;Muzeum Lotnictwa Polskiego;;
12;TAURON Arena Kraków Wieczysta 02;TAURON Arena Kraków Wieczysta;;
13;Białucha 02;Białucha;;
14;Cystersów 02;Cystersów;;
15;Rondo Mogilskie 01;Rondo Mogilskie;;
16;Lubicz 01;Lubicz;;
17;Teatr Słowackiego 01;Teatr Słowackiego;;
18;Stary Kleparz 01;Stary Kleparz;;
19;Pędzichów 01;Pędzichów;;
20;Nowy Kleparz 01;Nowy Kleparz;;
21;Dworzec Towarowy 93;Dworzec Towarowy;;koniec_trasy
# Generated at 2026-04-17 16:52
