Lp;Nazwa;Audio;Kierunek;Extras
1;Dworzec Towarowy 03;Dworzec Towarowy;Kopiec Wandy;
2;Nowy Kleparz 02;Nowy Kleparz;;
3;Pędzichów 02;Pędzichów;;
4;Stary Kleparz 03;Stary Kleparz;;
5;Teatr Słowackiego 02;Teatr Słowackiego;;
6;Lubicz 02;Lubicz;;
7;Rondo Mogilskie 02;Rondo Mogilskie;;
8;Cystersów 01;Cystersów;;
9;Białucha 01;Białucha;;
10;TAURON Arena Kraków Wieczysta 01;TAURON Arena Kraków Wieczysta;;
11;Muzeum Lotnictwa Polskiego 01;Muzeum Lotnictwa Polskiego;;
12;AKF / PK 01;AKF PK;;
13;Stella-Sawickiego 01;Stella-Sawickiego;;
14;Czyżyny 01;Czyżyny;;
15;Rondo Czyżyńskie 01;Rondo Czyżyńskie;;
16;Os. Kolorowe 01;Os. Kolorowe;;
17;Plac Centralny im. R.Reagana 03;Plac Centralny im. R.Reagana;;
18;Struga 01;Struga;;
19;Zalew Nowohucki 01;Zalew Nowohucki;;
20;Kombinat 01;Kombinat;;
21;Kopiec Wandy 92;Kopiec Wandy;;koniec_trasy
