Lp;Nazwa;Audio;Kierunek;Extras
1;Bardosa 02;Bardosa;Os. Piastów;
2;Suche Stawy 02;Suche Stawy;;
3;Klasztorna 02;Klasztorna;;
4;Os. Na Skarpie 02;Os. Na Skarpie;;
5;Plac Centralny im. R.Reagana 02;Plac Centralny im. R.Reagana;;
6;Os. Zgody 02;Os. Zgody;;
7;Rondo Kocmyrzowskie im. Ks. Gorzelanego 01;Rondo Kocmyrzowskie im. Ks. Gorzelanego;;
8;DH Wanda 01;DH Wanda;;
9;Rondo Hipokratesa 01;Rondo Hipokratesa;;
10;Dunikowskiego 01;Dunikowskiego;;
11;Kleeberga 01;Kleeberga;;
12;Piasta Kołodzieja 01;Piasta Kołodzieja;;
13;Os. Piastów 91;Os. Piastów;;koniec_trasy
