Lp;Nazwa;Audio
1;Mały Płaszów P+R 01;Mały Płaszów P+R
2;Rzebika 02;Rzebika
3;Lipska 03;Lipska
4;Dworzec Płaszów Estakada 02;Dworzec Płaszów Estakada
5;Dworcowa 02;Dworcowa
6;Cmentarz Podgórski 02;Cmentarz Podgórski
7;Podgórze SKA 02;Podgórze SKA
8;Limanowskiego 02;Limanowskiego
9;Korona 02;Korona
10;Plac Wolnica 02;Plac Wolnica
11;Stradom 04;Stradom
12;Wawel 01;Wawel
13;św. Gertrudy 01;Św. Gertrudy
14;Plac Wszystkich Świętych 01;Plac Wszystkich Świętych
15;Filharmonia 01;Filharmonia
16;UJ / AST 01;UJ AST
17;Muzeum Narodowe 01;Muzeum Narodowe
18;Oleandry 01;Oleandry
19;Park Jordana 01;Park Jordana
20;Reymana 01;Reymana
21;Cichy Kącik 91;Cichy Kącik
