Lp;Nazwa;Audio;Kierunek;Extras
1;Cichy Kącik 01;Cichy Kącik;Mały Płaszów P+R;
2;Reymana 02;Reymana;;
3;Park Jordana 02;Park Jordana;;
4;Oleandry 02;Oleandry;;
5;Muzeum Narodowe 02;Muzeum Narodowe;;
6;UJ / AST 02;UJ AST;;
7;Filharmonia 03;Filharmonia;;
8;Plac Wszystkich Świętych 02;Plac Wszystkich Świętych;;
9;św. Gertrudy 02;Św. Gertrudy;;
10;Wawel 02;Wawel;;
11;Stradom 02;Stradom;;
12;Plac Wolnica 01;Plac Wolnica;;
13;Korona 03;Korona;;
14;Limanowskiego 01;Limanowskiego;;
15;Podgórze SKA 01;Podgórze SKA;;
16;Cmentarz Podgórski 01;Cmentarz Podgórski;;
17;Dworcowa 01;Dworcowa;;
18;Dworzec Płaszów Estakada 01;Dworzec Płaszów Estakada;;
19;Lipska 01;Lipska;;
20;Rzebika 01;Rzebika;;
21;Mały Płaszów P+R 91;Mały Płaszów P+R;;koniec_trasy
