# Copyright:
# (c) ROKMK 2026 - All rights reserved.
# Generated with Routes-Generator for SIP by ROKMK.
#
# Route Info:
# Line: 69   Direction: Górka Narodowa P+R   Stops amount: 36   Route changed: False
# Line operator: MPK S.A. w Krakowie   Vehicle type: Tram
Lp;Nazwa;Audio;Kierunek;Extras
1;Nowy Bieżanów P+R 01;Nowy Bieżanów P+R;Górka Narodowa P+R;
2;Ćwiklińskiej 02;Ćwiklińskiej;;
3;Nowy Prokocim 02;Nowy Prokocim;;
4;Teligi 02;Teligi;;
5;Prokocim Szpital 02;Prokocim Szpital;;
6;Prokocim 02;Prokocim;;
7;Wlotowa 02;Wlotowa;;
8;Bieżanowska 02;Bieżanowska;;
9;Kabel 02;Kabel;;
10;Dworcowa 02;Dworcowa;;
11;Cmentarz Podgórski 02;Cmentarz Podgórski;;
12;Podgórze SKA 02;Podgórze SKA;;
13;Plac Bohaterów Getta 02;Plac Bohaterów Getta;;
14;św. Wawrzyńca 02;Św. Wawrzyńca;;
15;Miodowa 02;Miodowa;;
16;Starowiślna 01;Starowiślna;;
17;Poczta Główna 02;Poczta Główna;;
18;Plac Wszystkich Świętych 01;Plac Wszystkich Świętych;;
19;Filharmonia 01;Filharmonia;;
20;Teatr Bagatela 01;Teatr Bagatela;;
21;Stary Kleparz 02;Stary Kleparz;;
22;Teatr Słowackiego 02;Teatr Słowackiego;;
23;Dworzec Główny Zachód 02;Dworzec Główny Zachód;;
24;Politechnika 01;Politechnika;;
25;Dworzec Towarowy 01;Dworzec Towarowy;;
26;Szpital Narutowicza 01;Szpital Narutowicza;;
27;Bratysławska 01;Bratysławska;;
28;Krowodrza Górka P+R 01;Krowodrza Górka P+R;;
29;Pachońskiego P+R 01;Pachońskiego P+R;;
30;Białoprądnicka 02;Białoprądnicka;;
31;Górnickiego 02;Górnickiego;;
32;Siewna Wiadukt 01;Siewna Wiadukt;;
33;Bociana 01;Bociana;;
34;Kuźnicy Kołłątajowskiej 01;Kuźnicy Kołłątajowskiej;;
35;Papierni Prądnickich 01;Papierni Prądnickich;;
36;Górka Narodowa P+R 91;Górka Narodowa P+R;;koniec_trasy
# Generated at 2026-04-17 16:53
