Lp;Nazwa;Audio;Kierunek;Extras
1;Nowy Bieżanów P+R 01;Nowy Bieżanów P+R;Mistrzejowice;
2;Ćwiklińskiej 02;Ćwiklińskiej;;
3;Nowy Prokocim 02;Nowy Prokocim;;
4;Teligi 02;Teligi;;
5;Prokocim Szpital 02;Prokocim Szpital;;
6;Prokocim 02;Prokocim;;
7;Wlotowa 02;Wlotowa;;
8;Bieżanowska 02;Bieżanowska;;
9;Kabel 02;Kabel;;
10;Dworzec Płaszów Estakada 01;Dworzec Płaszów Estakada;;
11;Lipska 02;Lipska;;
12;Gromadzka 02;Gromadzka;;
13;Kuklińskiego 02;Kuklińskiego;;
14;Klimeckiego 02;Klimeckiego;;
15;Zabłocie 02;Zabłocie;;
16;Rondo Grzegórzeckie 03;Rondo Grzegórzeckie;;
17;Rondo Mogilskie 02;Rondo Mogilskie;;
18;Cystersów 01;Cystersów;;
19;Białucha 01;Białucha;;
20;TAURON Arena Kraków Wieczysta 01;TAURON Arena Kraków Wieczysta;;
21;Muzeum Lotnictwa Polskiego 01;Muzeum Lotnictwa Polskiego;;
22;AKF / PK 01;AKF PK;;
23;Stella-Sawickiego 01;Stella-Sawickiego;;
24;Czyżyny 01;Czyżyny;;
25;Rondo Czyżyńskie 03;Rondo Czyżyńskie;;
26;Bieńczycka 02;Bieńczycka;;
27;Rondo Kocmyrzowskie im. Ks. Gorzelanego 01;Rondo Kocmyrzowskie im. Ks. Gorzelanego;;
28;DH Wanda 01;DH Wanda;;
29;Rondo Hipokratesa 01;Rondo Hipokratesa;;
30;Dunikowskiego 01;Dunikowskiego;;
31;Rondo Piastowskie 01;Rondo Piastowskie;;
32;Os. Złotego Wieku 01;Os. Złotego Wieku;;
33;Miśnieńska 01;Miśnieńska;;
34;Mistrzejowice 94;Mistrzejowice;;koniec_trasy
