Lp;Nazwa;Audio;Kierunek
1;Mistrzejowice 04;Mistrzejowice;Nowy Bieżanów P+R
2;Miśnieńska 02;Miśnieńska;
3;Os. Złotego Wieku 02;Os. Złotego Wieku;
4;Rondo Piastowskie 02;Rondo Piastowskie;
5;Dunikowskiego 02;Dunikowskiego;
6;Rondo Hipokratesa 02;Rondo Hipokratesa;
7;DH Wanda 02;DH Wanda;
8;Rondo Kocmyrzowskie im. Ks. Gorzelanego 02;Rondo Kocmyrzowskie im. Ks. Gorzelanego;
9;Bieńczycka 01;Bieńczycka;
10;Rondo Czyżyńskie 02;Rondo Czyżyńskie;
11;Czyżyny 02;Czyżyny;
12;Stella-Sawickiego 02;Stella-Sawickiego;
13;AKF / PK 02;AKF PK;
14;Muzeum Lotnictwa Polskiego 02;Muzeum Lotnictwa Polskiego;
15;TAURON Arena Kraków Wieczysta 02;TAURON Arena Kraków Wieczysta;
16;Białucha 02;Białucha;
17;Cystersów 02;Cystersów;
18;Rondo Mogilskie 03;Rondo Mogilskie;
19;Rondo Grzegórzeckie 04;Rondo Grzegórzeckie;
20;Zabłocie 01;Zabłocie;
21;Klimeckiego 01;Klimeckiego;
22;Kuklińskiego 01;Kuklińskiego;
23;Gromadzka 01;Gromadzka;
24;Lipska 03;Lipska;
25;Dworzec Płaszów Estakada 02;Dworzec Płaszów Estakada;
26;Kabel 01;Kabel;
27;Bieżanowska 01;Bieżanowska;
28;Wlotowa 01;Wlotowa;
29;Prokocim 01;Prokocim;
30;Prokocim Szpital 01;Prokocim Szpital;
31;Teligi 01;Teligi;
32;Nowy Prokocim 01;Nowy Prokocim;
33;Ćwiklińskiej 01;Ćwiklińskiej;
34;Nowy Bieżanów P+R 91;Nowy Bieżanów P+R;
