ID;Nazwa;ID TRAM;ID BUS;Lat;Lon;Strefa;Dzielnica;Ulica;Exit-only (E)/Tram (T)/Bus (B);NŻ;Ex ID;Ex Nazwa
782-1;Agatowa (NŻ) 01;;782-01;50.021911666;20.042668333;I;Bieżanów-Prokocim;ul. Agatowa;B;NŻ;;
782-2;Agatowa (NŻ) 02;;782-02;50.021763611;20.043033888;I;Bieżanów-Prokocim;ul. Agatowa;B;NŻ;;
110-1;Agencja Kraków Wschód (NŻ) 01;110-1t;;50.0876932;20.0794901;I;Wzgórza Krzesławickie;ul. Mrozowa;T;NŻ;;
110-2;Agencja Kraków Wschód (NŻ) 02;110-2t;;50.0878293;20.0796847;I;Wzgórza Krzesławickie;ul. Mrozowa;T;NŻ;;
110-3;Agencja Kraków Wschód (NŻ) 03;;110-03;50.087590;20.079410;I;Wzgórza Krzesławickie;ul. Mrozowa;B;NŻ;;
826-1;AGH / UR 01;;826-01;50.064276111;19.924364444;I;Krowodrza;al. Mickiewicza;B;;;AGH 01
826-2;AGH / UR 02;;826-02;50.062825555;19.923145000;I;Krowodrza;al. Mickiewicza;B;;;AGH 02
867-1;Akacjowa 01;;867-01;50.081540277;19.977547500;I;Prądnik Czerwony;ul. Pilotów;B;;;
867-2;Akacjowa 02;;867-02;50.081524444;19.976936666;I;Prądnik Czerwony;ul. Pilotów;B;;;
867-72;Akacjowa 72;;867-72;50.081328333;19.979021111;I;Prądnik Czerwony;ul. Ułanów;B;;;
100-1;AKF / PK 01;100-1t;;50.073967;19.99881;I;Czyżyny;al. Jana Pawła II;T;;;AWF 01,   AWF / PK 01
100-2;AKF / PK 02;100-2t;;50.074015;19.998685;I;Czyżyny;al. Jana Pawła II;T;;;AWF 02,   AWF / PK 02
100-3;AKF / PK 03;;100-03;50.074006388;19.997529722;I;Czyżyny;al. Jana Pawła II;B;;;AWF 03,   AWF / PK 03
100-4;AKF / PK 04;;100-04;50.073838888;19.998276944;I;Czyżyny;al. Jana Pawła II;B;;;AWF 04,   AWF / PK 04
686-1;Albatrosów 01;;686-01;50.037977222;20.017977222;I;Podgórze;ul. Surzyckiego;B;;;
686-2;Albatrosów 02;;686-02;50.037523888;20.019534722;I;Podgórze;ul. Rybitwy;B;;;
686-4;Albatrosów 04;;686-04;50.0381564;20.0188186;I;Podgórze;ul. Albatrosów;B;;;
686-6;Albatrosów 06;;686-06;50.037341944;20.018201111;I;Podgórze;ul. Brandla;B;;;
439-2;Aleja 29 Listopada Wiadukt (NŻ) 02;;439-02;50.093300000;19.959750000;I;Prądnik Biały;ul. Siewna;B;NŻ;;
137-1;Aleja Przyjaźni 01;;137-01;50.075134444;20.034164722;I;Nowa Huta;al. Andersa;B;;;
137-2;Aleja Przyjaźni 02;;137-02;50.075510555;20.034422500;I;Nowa Huta;al. Przyjaźni;B;;;
137-3;Aleja Przyjaźni 03;;137-03;50.075454444;20.033727500;I;Nowa Huta;al. Przyjaźni;B;;;
137-5;Aleja Przyjaźni 05;;137-05;50.075341111;20.034581388;I;Nowa Huta;al. Przyjaźni;B;;;
138-1;Aleja Róż 01;;138-01;50.075730000;20.038591944;I;Nowa Huta;al. Róż;B;;;
138-2;Aleja Róż 02;;138-02;50.075053333;20.037864444;I;Nowa Huta;al. Przyjaźni;B;;;
138-3;Aleja Róż 03;;138-03;50.074788055;20.038866944;I;Nowa Huta;al. Przyjaźni;B;;;
318-1;Aleja Waszyngtona (NŻ) 01;;318-01;50.053350;19.897640;I;Zwierzyniec;ul. Wodociągowa;B;NŻ;;
318-2;Aleja Waszyngtona (NŻ) 02;;318-02;50.053140;19.896110;I;Zwierzyniec;ul. Wodociągowa;B;NŻ;;
2077-1;Aleksandrowice Centrum 01;;2077-01;50.081254722;19.763993333;II;Gmina Zabierzów;ul. Radziwiłłów;B;;;
2077-2;Aleksandrowice Centrum 02;;2077-02;50.081176666;19.764029166;II;Gmina Zabierzów;ul. Radziwiłłów;B;;;
2076-1;Aleksandrowice Osiedle (NŻ) 01;;2076-01;50.081698888;19.769260277;II;Gmina Zabierzów;ul. Radziwiłłów;B;NŻ;;
2076-2;Aleksandrowice Osiedle (NŻ) 02;;2076-02;50.081568888;19.769158333;II;Gmina Zabierzów;ul. Radziwiłłów;B;NŻ;;
891-1;Aleksandrowicza (NŻ) 01;;891-01;49.979641666;19.949197500;I;Swoszowice;ul. Niewodniczańskiego;B;NŻ;;
891-2;Aleksandrowicza (NŻ) 02;;891-02;49.979510555;19.949762222;I;Swoszowice;ul. Niewodniczańskiego;B;NŻ;;
764-1;Aleksandry 01;;764-01;50.008617500;20.018161666;I;Bieżanów-Prokocim;ul. Aleksandry;B;;;
764-2;Aleksandry 02;;764-02;50.008290833;20.018437500;I;Bieżanów-Prokocim;ul. Aleksandry;B;;;
451-1;Architektów 01;;451-01;50.097377222;20.054655555;I;Wzgórza Krzesławickie;ul. Architektów;B;;;
451-2;Architektów 02;;451-02;50.096897777;20.055444166;I;Wzgórza Krzesławickie;ul. Architektów;B;;;
451-4;Architektów 04;;451-04;50.096887500;20.054577500;I;Wzgórza Krzesławickie;ul. Poległych w Krzesławicach;B;;;
7425-71;Architektów Szkoła 71;;7425-71;50.097377222;20.054655555;I;Wzgórza Krzesławickie;ul. Poległych w Krzesławicach;B;;;
178-1;Archiwum UMK (NŻ) 01;;178-01;50.058740;20.021410;I;Czyżyny;ul. Na Załęczu;B;NŻ;;
178-2;Archiwum UMK (NŻ) 02;;178-02;50.058870;20.020810;I;Czyżyny;ul. Na Załęczu;B;NŻ;;
113-1;Arctowskiego 01;;113-01;50.056984722;20.001714444;I;Czyżyny;ul. Nowohucka;B;;;
113-2;Arctowskiego 02;;113-02;50.056461666;20.000383611;I;Czyżyny;ul. Nowohucka;B;;;
113-4;Arctowskiego 04;;113-04;50.056347222;20.001372500;I;Czyżyny;ul. Ciepłownicza;B;;;
164-1;Arka 01;;164-01;50.083490555;20.030394722;I;Bieńczyce;ul. Obrońców Krzyża;B;;;
164-2;Arka 02;;164-02;50.084042500;20.029923611;I;Bieńczyce;ul. Obrońców Krzyża;B;;;
352-1;Armii Krajowej 01;;352-01;50.071698333;19.890901666;I;Krowodrza;al. Armii Krajowej;B;;;Armii Krajowej I 01
352-2;Armii Krajowej 02;;352-02;50.071944166;19.890860277;I;Krowodrza;al. Armii Krajowej;B;;;Armii Krajowej I 02
377-1;Azory 01;;377-01;50.086785833;19.908793611;I;Prądnik Biały;ul. Weissa;B;;;
377-81;Azory 81;;377-81;50.086817222;19.909212222;I;Prądnik Biały;ul. Weissa;B;;;
328-1;Baba Jaga (NŻ) 01;;328-01;50.059201111;19.862212500;I;;;B;NŻ;;
328-2;Baba Jaga (NŻ) 02;;328-02;50.059090833;19.862541388;I;;;B;NŻ;;
536-1;Babińskiego 01;;536-01;50.007075277;19.881150555;I;;;B;;;
536-2;Babińskiego 02;;536-02;50.007072500;19.879870000;I;;;B;;;
536-3;Babińskiego 03;;536-03;50.007487500;19.881083055;I;;;B;;;
763-1;Baczyńskiego 01;;763-01;50.003051388;19.869039166;I;;;B;;;
763-2;Baczyńskiego 02;;763-02;50.003543055;19.869453333;I;;;B;;;
730-1;Bagienna 01;;730-01;50.010176666;19.840899444;I;;;B;;;
730-2;Bagienna 02;;730-02;50.009746111;19.841222222;I;;;B;;;
888-1;Bagry 01;;888-01;50.034096111;19.995266111;I;;;B;;;
898-1;Bagry Tężnia 01;;898-01;50.033168055;19.999512500;I;;;B;;;
2072-1;Balice Autostrada (NŻ) 01;;2072-01;50.084912500;19.804189722;II;;;B;NŻ;;
2072-2;Balice Autostrada (NŻ) 02;;2072-02;50.084286388;19.807113333;II;;;B;NŻ;;
2292-1;Balice Grzybów (NŻ) 01;;2292-01;50.090557777;19.782728888;II;;;B;NŻ;;
2292-2;Balice Grzybów (NŻ) 02;;2292-02;50.090907500;19.781928055;II;;;B;NŻ;;
2074-1;Balice Instytut Zootechniki (NŻ) 01;;2074-01;50.083860277;19.788948333;II;;;B;NŻ;;
2851-1;Balice Krakowska (NŻ) 01;;2851-01;50.083409166;19.782738333;II;;;B;NŻ;;
2851-2;Balice Krakowska (NŻ) 02;;2851-02;50.083439166;19.783379166;II;;;B;NŻ;;
2005-1;Balice Leśna (NŻ) 01;;2005-01;50.089868611;19.786695833;II;;;B;NŻ;;
2005-2;Balice Leśna (NŻ) 02;;2005-02;50.089945555;19.786671944;II;;;B;NŻ;;
2069-1;Balice Medweckiego (NŻ) 01;;2069-01;50.069297222;19.801830277;II;;;B;NŻ;;
2069-2;Balice Medweckiego (NŻ) 02;;2069-02;50.068178611;19.800905277;II;;;B;NŻ;;
2071-1;Balice Na Lotnisko (NŻ) 01;;2071-01;50.076624444;19.808118055;II;;;B;NŻ;;
2473-1;Balice Olszanica Bory 01;;2473-01;50.062986944;19.804051944;II;;;B;;;
2473-2;Balice Olszanica Bory 02;;2473-02;50.061692222;19.803919722;II;;;B;;;
2291-1;Balice Remiza (NŻ) 01;;2291-01;50.086789722;19.790970277;II;;;B;NŻ;;
2291-2;Balice Remiza (NŻ) 02;;2291-02;50.086724166;19.791229444;II;;;B;NŻ;;
2073-1;Balice Szkoła 01;;2073-01;50.084877500;19.793932222;II;;;B;;;
2073-2;Balice Szkoła 02;;2073-02;50.083675555;19.790306944;II;;;B;;;
2075-1;Balice Winna Góra (NŻ) 01;;2075-01;50.082550277;19.775953888;II;;;B;NŻ;;
2075-2;Balice Winna Góra (NŻ) 02;;2075-02;50.082657222;19.777378055;II;;;B;NŻ;;
502-1;Bałuckiego (NŻ) 01;;502-01;50.049639722;19.925893888;I;;;B;NŻ;;
457-1;Banacha 01;;457-01;50.102126111;19.963806944;I;;;B;;;
457-2;Banacha 02;;457-02;50.101320833;19.963149722;I;;;B;;;
457-3;Banacha 03;;457-03;50.101704722;19.964317500;I;;;B;;;
457-4;Banacha 04;;457-04;50.101799722;19.962594166;I;;;B;;;
211-1;Bardosa 01;211-1t;;50.067743;20.064949;I;Nowa Huta;ul. Ptaszyckiego;T;;;
211-2;Bardosa 02;211-2t;;50.067772;20.064912;I;Nowa Huta;ul. Ptaszyckiego;T;;;
248-1;Bartnicza (NŻ) 01;;248-01;50.056611388;20.187095277;I;;;B;NŻ;;
248-2;Bartnicza (NŻ) 02;;248-02;50.056690277;20.186932500;I;;;B;NŻ;;
251-1;Barwinkowa 01;;251-01;50.073390;20.151500;I;;;B;;;
251-2;Barwinkowa 02;;251-02;50.074370;20.150660;I;;;B;;;
279-1;Barwna (NŻ) 01;;279-01;50.107530;20.151690;I;;;B;NŻ;;
279-2;Barwna (NŻ) 02;;279-02;50.107400;20.151660;I;;;B;NŻ;;
709-1;Barycz (NŻ) 01;;709-01;49.985443055;20.002446666;I;;;B;NŻ;;
709-3;Barycz (NŻ) 03;;709-03;49.984944444;20.002378333;I;;;B;NŻ;;
386-1;Batalionu ”Skała” AK 01;;386-01;50.087928333;19.923458333;I;;;B;;;
386-2;Batalionu ”Skała” AK 02;;386-02;50.088819166;19.923416388;I;;;B;;;
2181-1;Batowice Dłubnia 01;;2181-01;50.113591111;20.021758333;II;;;B;;;
2181-2;Batowice Dłubnia 02;;2181-02;50.113927500;20.022528611;II;;;B;;;
2180-1;Batowice Kapliczka 01;;2180-01;50.111547500;20.016391111;II;;;B;;;
2180-2;Batowice Kapliczka 02;;2180-02;50.111272777;20.015411111;II;;;B;;;
2179-1;Batowice Spławy (NŻ) 01;;2179-01;50.109884166;20.010491388;II;;;B;NŻ;;
2179-2;Batowice Spławy (NŻ) 02;;2179-02;50.110072777;20.009106944;II;;;B;NŻ;;
693-1;Bazarowa 01;;693-01;50.034394722;20.042146666;I;;;B;;;
693-2;Bazarowa 02;;693-02;50.034125000;20.042288888;I;;;B;;;
304-1;Benedyktowicza (NŻ) 01;;304-01;50.047615833;19.889045000;I;;;B;NŻ;;
304-2;Benedyktowicza (NŻ) 02;;304-02;50.047653888;19.890946944;I;;;B;NŻ;;
832-1;Beskidzka 01;;832-01;50.018673611;19.951652777;I;;;B;;;
832-2;Beskidzka 02;;832-02;50.018370000;19.951585555;I;;;B;;;
240-1;Betonowa 01;;240-01;50.056350000;20.202353055;I;;;B;;;
240-2;Betonowa 02;;240-02;50.055731666;20.202615277;I;;;B;;;
2326-1;Bębło Lasek (NŻ) 01;;2326-01;50.183223333;19.777471944;;;;B;NŻ;;
2326-2;Bębło Lasek (NŻ) 02;;2326-02;50.183136944;19.777275833;;;;B;NŻ;;
2325-1;Bębło Łabajowa (NŻ) 01;;2325-01;50.179961388;19.785812500;;;;B;NŻ;;
2325-2;Bębło Łabajowa (NŻ) 02;;2325-02;50.179751388;19.785644166;;;;B;NŻ;;
2324-1;Bębło Stara Wieś (NŻ) 01;;2324-01;50.184348888;19.792071944;;;;B;NŻ;;
2324-2;Bębło Stara Wieś (NŻ) 02;;2324-02;50.184634722;19.792467500;;;;B;NŻ;;
2329-1;Będkowice Borynia (NŻ) 01;;2329-01;50.175874166;19.754401388;;;;B;NŻ;;
2329-2;Będkowice Borynia (NŻ) 02;;2329-02;50.176023611;19.754633333;;;;B;NŻ;;
2733-1;Będkowice Cmentarz (NŻ) 01;;2733-01;50.171230555;19.749509722;;;;B;NŻ;;
2733-2;Będkowice Cmentarz (NŻ) 02;;2733-02;50.171606388;19.749583611;;;;B;NŻ;;
2730-1;Będkowice Długa (NŻ) 01;;2730-01;50.163741944;19.750313888;;;;B;NŻ;;
2730-2;Będkowice Długa (NŻ) 02;;2730-02;50.164220833;19.750518611;;;;B;NŻ;;
2328-1;Będkowice Kawiory (NŻ) 01;;2328-01;50.179000833;19.763107500;;;;B;NŻ;;
2328-2;Będkowice Kawiory (NŻ) 02;;2328-02;50.178162222;19.761096111;;;;B;NŻ;;
2327-1;Będkowice Mosurowa (NŻ) 01;;2327-01;50.180721388;19.767091944;;;;B;NŻ;;
2327-2;Będkowice Mosurowa (NŻ) 02;;2327-02;50.180703611;19.767210833;;;;B;NŻ;;
2338-1;Będkowice Pętla 01;;2338-01;50.158599166;19.747296111;;;;B;;;
2330-1;Będkowice Rynek 01;;2330-01;50.167304444;19.751889722;;;;B;;;
2330-2;Będkowice Rynek 02;;2330-02;50.167915000;19.752238888;;;;B;;;
317-1;Białe Wzgórze (NŻ) 01;;317-01;50.051534166;19.908677222;;;;B;NŻ;;
317-2;Białe Wzgórze (NŻ) 02;;317-02;50.051533888;19.908999722;;;;B;NŻ;;
781-1;Białoprądnicka 01;781-1t;;50.09499;19.93486;;;;T;;;
781-2;Białoprądnicka 02;781-2t;;50.09485;19.9352;;;;T;;;
781-3;Białoprądnicka 03;;781-03;50.094964166;19.935322222;;;;B;;;
781-4;Białoprądnicka 04;;781-04;50.094904444;19.935273611;;;;B;;;
781-6;Białoprądnicka 06;;781-06;50.0956506;19.934738;;;;B;;;
804-1;Białucha 01;804-1t;;50.067841;19.977991;;;;T;;;
804-2;Białucha 02;804-2t;;50.067597;19.977192;;;;T;;;
804-3;Białucha 03;;804-03;50.068183611;19.978433055;;;;B;;;
804-4;Białucha 04;;804-04;50.067380555;19.977083055;;;;B;;;
2321-1;Biały Kościół Dolina Kluczwody (NŻ) 01;;2321-01;50.169311666;19.825936111;;;;B;NŻ;;
2321-2;Biały Kościół Dolina Kluczwody (NŻ) 02;;2321-02;50.168136111;19.826767777;;;;B;NŻ;;
2322-1;Biały Kościół Murownia (NŻ) 01;;2322-01;50.179585277;19.812647222;;;;B;NŻ;;
2322-2;Biały Kościół Murownia (NŻ) 02;;2322-02;50.177745833;19.814616944;;;;B;NŻ;;
2376-1;Biały Kościół Murownia Pętla 01;;2376-01;50.181106111;19.811826111;;;;B;;;
2679-1;Bibice Cmentarz (NŻ) 01;;2679-01;50.125469166;19.940683611;;;;B;NŻ;;
2679-2;Bibice Cmentarz (NŻ) 02;;2679-02;50.125750000;19.942288333;;;;B;NŻ;;
2176-1;Bibice Kościuszki 01;;2176-01;50.121417777;19.958791666;;;;B;;;
2176-2;Bibice Kościuszki 02;;2176-02;50.121342500;19.958680833;;;;B;;;
2277-1;Bibice Mokra 01;;2277-01;50.130973888;19.960554722;;;;B;;;
2277-2;Bibice Mokra 02;;2277-02;50.131052222;19.960893055;;;;B;;;
2148-1;Bibice Na Czekaj (NŻ) 01;;2148-01;50.133416388;19.967288611;;;;B;NŻ;;Bibice 01
2148-2;Bibice Na Czekaj (NŻ) 02;;2148-02;50.132835833;19.966800277;;;;B;NŻ;;Bibice 02
2148-3;Bibice Na Czekaj (NŻ) 03;;2148-03;50.132688055;19.965553611;;;;B;NŻ;;Bibice 03
2177-1;Bibice Rynek 01;;2177-01;50.126606944;19.953480833;;;;B;;;
2177-2;Bibice Rynek 02;;2177-02;50.126185000;19.953912777;;;;B;;;
